,number of Autoencoders,cardio,gas_drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,1,0.9191955061983472,0.9935284876750412,0.8571165809556599,0.9949315923193258,0.9993014464168308,0.7581159779561794,0.5007343908160599,0.5485084654662725,0.8149730207081141
1,2,0.9281379132231404,0.994127106792636,0.8631714356167314,0.9954537152694872,0.9981508875739644,0.8250750367079195,0.4982263485608042,0.5350712174146735,0.8211372150835055
2,3,0.943956611570248,0.993244397246352,0.8631421212453895,0.9961482469597704,0.9992192636423406,0.8404584199385976,0.4956131787858673,0.5369524321418974,0.8235005777108644
3,4,0.9433109504132232,0.9931158801476594,0.866906431400635,0.9965046119520696,0.9995069033530573,0.8375309395320456,0.4982203412739652,0.5420585864015051,0.8287719462048092
4,5,0.9495738636363636,0.993405043619718,0.8676846992201803,0.9966680311733128,0.999794543063774,0.832759863465609,0.4972111170850242,0.5452835259338887,0.82634828379025
5,6,0.9540934917355371,0.993777066800144,0.8688785413628654,0.996583909740553,0.999465811965812,0.825444213497073,0.4996320536811152,0.5458210158559527,0.825449622445526
6,7,0.9530927169421488,0.9934422459377604,0.8661373602466087,0.9968087938835606,0.9994247205785668,0.8394920005339332,0.5001336621321664,0.5439398011287289,0.8297172912557528
7,8,0.9519950929752068,0.9932596163764604,0.8680381960510668,0.99700027794423,0.9990548980933596,0.8434305219198719,0.500683328877929,0.5450147809728567,0.8294216277830297
8,9,0.9509620351239668,0.9933238749258066,0.868873368238511,0.9968948155398232,0.9995069033530573,0.8428443393527963,0.5004340264741132,0.5434023112066648,0.8294410793272878
9,10,0.9526730371900828,0.9932782175354816,0.8663609541770392,0.997034920480397,0.9995479947403024,0.8499159054937929,0.4988481027486341,0.5444772910507928,0.8295655692105396
10,11,0.9518982438016528,0.9932562343475474,0.8670190905532427,0.9971413329965552,0.9995069033530573,0.8483263095669419,0.4989021683301845,0.5442085460897608,0.8284023668639053
11,12,0.9515431301652892,0.9932731444921122,0.8661379350382035,0.997015114304656,0.9993425378040762,0.8484712343395434,0.499695130192924,0.5452835259338887,0.8275348279899941
12,13,0.9518982438016528,0.9931733746391798,0.8702683874394241,0.997075190601553,0.999465811965812,0.848200453843367,0.4991634853076782,0.5468959957000805,0.8280133359787434
13,14,0.9511234504132232,0.9931767566680928,0.8695039146181572,0.9969824450775112,0.9994247205785668,0.8462965999885586,0.4985717675540431,0.5468959957000806,0.8273130803854518
14,15,0.9508651859504132,0.993349240142654,0.8713012879355267,0.9970234460538608,0.9995479947403024,0.8453202646784006,0.4984696436777811,0.5468959957000806,0.8270407587658385
15,16,0.9513171487603306,0.993398279561892,0.871014466929653,0.9969975006944952,0.9996712689020382,0.8428649339257451,0.4986859060039827,0.5466272507390486,0.8277449046679817
16,17,0.9507360537190084,0.993391515504066,0.8701856174497532,0.9969674625460468,0.9997123602892836,0.841250166854179,0.4984396072435865,0.5479709755442085,0.8275426086076973
17,18,0.950703770661157,0.9933864424606966,0.8708138646630197,0.996826992177876,0.9996301775147928,0.8467016265898819,0.4995359370916922,0.5479709755442086,0.8267684371462249
18,19,0.9501226756198348,0.9935572349208012,0.870812140288235,0.9967494484418568,0.9995890861275476,0.8446299651036403,0.4998002577126054,0.5482397205052405,0.8270991133986126
19,20,0.9500903925619836,0.993748319554384,0.8693452721379546,0.99678452949114,0.9995479947403024,0.844825232165672,0.5000135163953876,0.5474334856221446,0.8266361666452701
20,21,0.950316373966942,0.9937297183953626,0.8705132486588676,0.996881002376668,0.9996301775147928,0.8443957971815945,0.500034541899324,0.5468959957000806,0.8266322763364184
21,22,0.950994318181818,0.993770302742318,0.8698763795716767,0.996873693824734,0.9996301775147928,0.8418115596575199,0.4995629698824674,0.5463585057780167,0.8263249419371405
22,23,0.9502195247933884,0.9937669207134052,0.8688118655378526,0.9969187145046472,0.999671268902038,0.8422059075913884,0.5000345418993238,0.5468959957000806,0.8259281304342753
23,24,0.9499289772727272,0.9936654598460162,0.8691981254896506,0.9968709896605183,0.9997123602892832,0.8408283594897124,0.5007704345370936,0.5471647406611126,0.8259903753759011
24,25,0.9499935433884296,0.993738173467645,0.8690400578010428,0.996810182508428,0.9996301775147928,0.8395797181594553,0.5014402470196349,0.5471647406611126,0.825029469089551
25,26,0.9501872417355371,0.99372126332308,0.8689946492650428,0.9968326928483844,0.9996301775147928,0.8412066894223984,0.5011789300421411,0.5479709755442085,0.8251617395905061
26,27,0.9506069214876032,0.9938244152049256,0.868441699750713,0.996859515233982,0.999671268902038,0.8414584008695486,0.5009897005067148,0.5485084654662725,0.825593563873036
27,28,0.9502518078512396,0.99381257810373,0.8685997674393207,0.9968849489947122,0.9997534516765284,0.8414942506817186,0.5006442815134758,0.5490459553883364,0.8253718162684935
28,29,0.9511234504132232,0.993885291725359,0.8679761185588135,0.9968558609580151,0.999794543063774,0.8409824374058467,0.5010527770185235,0.5479709755442086,0.824640438204389
29,30,0.9511234504132232,0.9939326401301404,0.8697872868744616,0.9968277961185888,0.9997534516765284,0.8386804218073644,0.5014702834538295,0.5485084654662725,0.8241541495979366
30,31,0.951769111570248,0.9939647694048136,0.8701919401572975,0.9968530106227608,0.999794543063774,0.8370954024522798,0.5021280813626929,0.5482397205052405,0.8247727087053442
31,32,0.952188791322314,0.9939782975204654,0.8700890524618036,0.9968147868961464,0.9997534516765286,0.8387643256230811,0.5025155513638042,0.5479709755442086,0.8246482188220923
32,33,0.9523502066115702,0.994022263896334,0.8694360892099549,0.9967794135047862,0.9997534516765286,0.8410221010278217,0.5036238957855879,0.5477022305831766,0.824508167703434
33,34,0.9529313016528926,0.9939850615782914,0.8693211308909672,0.9967975387135825,0.999794543063774,0.8412593199977116,0.5033836043120306,0.5487772104273044,0.8244809355414726
34,35,0.9525116219008264,0.9939985896939432,0.8687417409632703,0.9968041894958422,0.999794543063774,0.8400999218168992,0.5036208921421685,0.5487772104273044,0.8238351442721039
35,36,0.952188791322314,0.9939596963614442,0.8689785551003845,0.9968063089759032,0.9997123602892832,0.8402562880189166,0.5036839686539772,0.5501209352324644,0.8238118024189941
36,37,0.9523824896694216,0.9939749154915526,0.8695849602330435,0.9968269190923568,0.999671268902038,0.8392006254648082,0.5036208921421684,0.5503896801934963,0.8233585814377803
37,38,0.9529635847107438,0.993944477231336,0.8693286031817014,0.9968116442188149,0.9997534516765284,0.8412982208577258,0.5031072691174394,0.5495834453104005,0.823422771533832
38,39,0.9522533574380164,0.9939546233180748,0.8688469278251438,0.996810401764986,0.9997123602892832,0.8409198909250396,0.5033025059397048,0.5485084654662725,0.8235239195639743
39,40,0.9521242252066116,0.9939698424481832,0.8688365815764351,0.9967918380430738,0.999671268902038,0.8410571880780305,0.5028849995043988,0.5495834453104005,0.8234811261666064
40,41,0.9515431301652892,0.993993516650574,0.8688256605361312,0.9968055050351904,0.9997534516765284,0.8418039320379093,0.5029931306674996,0.5490459553883364,0.8235083583285677
41,42,0.9515754132231404,0.9940493201276378,0.8694573564989674,0.9967832870373112,0.999671268902038,0.8391876585114699,0.503341553304158,0.5479709755442085,0.8238040218012908
42,43,0.9518013946280992,0.9940205728818776,0.8690440813422073,0.9967709355845428,0.9997945430637738,0.8414965389676018,0.5034226516764836,0.5479709755442085,0.8238079121101425
43,44,0.951769111570248,0.9940391740408988,0.8694855212871193,0.9967981964832564,0.9997945430637738,0.8422097214011938,0.5030381853187917,0.5477022305831766,0.8237573380950713
44,45,0.9514785640495868,0.9940391740408988,0.8695395516970434,0.9967908148458032,0.9997945430637738,0.8423416792204574,0.5034016261725472,0.5482397205052405,0.8236133966675614
45,46,0.951252582644628,0.9940391740408988,0.8712156439878811,0.9968258228095668,0.9998356344510192,0.8423241356953527,0.5036118812119101,0.5490459553883364,0.8236250675941164
46,47,0.9510266012396696,0.9940053537517692,0.8715398264474258,0.996750983237763,0.9998356344510192,0.8426391563852711,0.5036839686539772,0.5487772104273044,0.823239927017806
47,48,0.9508006198347108,0.9940307189686164,0.8712202423206405,0.9967360737918176,0.999794543063774,0.8419526706203162,0.5036689504368799,0.5487772104273044,0.8228275542795342
48,49,0.9505746384297522,0.9940002807083996,0.8718668828649454,0.9967220413721046,0.999794543063774,0.8409778608340802,0.5040954678024443,0.5487772104273045,0.8231582305319218
49,50,0.9507683367768592,0.9939292581012276,0.8722491192755787,0.9967400204098622,0.999794543063774,0.8404858793691958,0.5044949523772336,0.5482397205052405,0.8230920952814444
50,51,0.9511234504132232,0.993930949115684,0.8718990711942618,0.9967357083642212,0.999794543063774,0.8400800900059114,0.504221620826062,0.5487772104273045,0.8231348886788122
51,52,0.9508974690082644,0.9939410952024228,0.871953101604186,0.9967333696276024,0.999794543063774,0.8391106195534028,0.5041540388491239,0.5482397205052405,0.8233799781364644
52,53,0.950574638429752,0.9939326401301404,0.8717139883006919,0.9967319810027347,0.9997534516765286,0.8398955016113345,0.5042816936944514,0.5493147003493685,0.8234422230780902
53,54,0.9510588842975206,0.9939749154915524,0.8708673202813489,0.9967160483595188,0.9997123602892832,0.8393348715699547,0.5046181017574317,0.5493147003493685,0.8238312539632522
54,55,0.9510266012396692,0.9939546233180748,0.8707690309186147,0.9966971922955292,0.999671268902038,0.8400633092427681,0.5040414022208939,0.5501209352324644,0.8238468151986585
55,56,0.9507037706611572,0.9940019717228564,0.8706069396888423,0.9967119555704356,0.9997123602892832,0.8389977307831659,0.5039152491972763,0.5493147003493685,0.8238195830366973
56,57,0.9508651859504132,0.9940070447662256,0.8709627356861087,0.996720798918276,0.9997123602892832,0.8369054747239755,0.5040414022208939,0.5501209352324643,0.8235900548144517
57,58,0.9506714876033058,0.9940273369397036,0.8707489132127919,0.99670815512343,0.9997123602892832,0.8364516313571442,0.5040233803603772,0.5501209352324644,0.8239868663173169
58,59,0.9507683367768596,0.9940239549107904,0.8706937332196778,0.9967031853081152,0.9997123602892832,0.835235788791213,0.5039302674143736,0.5493147003493684,0.8245431804830987
59,60,0.9508651859504132,0.9940087357806822,0.8704931309530448,0.9966811134812744,0.9997534516765284,0.836598844415629,0.5044168576483274,0.5498521902714324,0.8247104637637183
60,61,0.9508006198347108,0.9940138088240515,0.8702655134814495,0.9966751204686886,0.9997534516765284,0.8378497740317691,0.5041164933063806,0.5495834453104004,0.8246793412929052
61,62,0.9508974690082644,0.9940188818674212,0.8708040932059059,0.9966989463479934,0.9997534516765284,0.8381220800518678,0.5038221362512728,0.5498521902714323,0.8243369941139628
62,63,0.9511234504132232,0.9940036627373128,0.8705580824032726,0.9966944881313136,0.9997534516765284,0.8390930760282984,0.5039873366393436,0.5495834453104004,0.8243019813342982
63,64,0.9508974690082644,0.9940188818674212,0.8702183805706646,0.9967150982477672,0.9997534516765284,0.8379512213725901,0.50417656617477,0.5501209352324644,0.8241113562005689
64,65,0.9509620351239668,0.994015499838508,0.8703977155482849,0.99673030003579,0.9997534516765284,0.8379214736561088,0.5036839686539774,0.5498521902714324,0.8239285116845427
65,66,0.9504777892561984,0.9940087357806822,0.8701425080801328,0.9967283998122872,0.9997534516765284,0.8380198699490856,0.5035848484211348,0.5498521902714324,0.8238701570517684
66,67,0.9504777892561984,0.9939461682457924,0.8700378960098543,0.9967294960950772,0.9997945430637738,0.837811635933716,0.5038071180341754,0.5493147003493685,0.8239168407579879
67,68,0.9503809400826446,0.9939461682457924,0.8703592045114242,0.9967202142341212,0.9997945430637738,0.8380427528079175,0.5033565715212552,0.5493147003493685,0.8240218790969815
68,69,0.9505423553719008,0.9939512412891618,0.8702344747353229,0.9967379009298012,0.9997945430637738,0.8380358879502681,0.5034917354751314,0.5498521902714324,0.8240957949651623
69,70,0.9506392045454546,0.9939427862168794,0.8711121815007923,0.9967343197393536,0.9997945430637738,0.837500429053603,0.5035427974132622,0.5495834453104004,0.8243934035923113
70,71,0.9506069214876034,0.9939410952024228,0.8711006856688936,0.996742359146481,0.9997945430637738,0.8371266756926832,0.5034737136146146,0.5493147003493685,0.8244225809086984
71,72,0.950832902892562,0.9939461682457924,0.8711024100436784,0.9967409705216136,0.9997945430637738,0.8356068724852692,0.5033986225291278,0.5493147003493685,0.8241619302156399
72,73,0.9506069214876034,0.9939884436072044,0.8707425905052477,0.9967324195158508,0.9997945430637738,0.8353433382277224,0.5035097573356482,0.5495834453104005,0.8240957949651624
73,74,0.9503486570247934,0.9940019717228564,0.8705097999092979,0.9967334427131216,0.9997945430637738,0.8351923113594325,0.5033956188857084,0.5495834453104005,0.8237962411835876
74,75,0.9504777892561982,0.9939681514337266,0.8702379234848925,0.9967207623755162,0.9997945430637738,0.8346820236074827,0.5035097573356482,0.5498521902714324,0.8238040218012908
75,76,0.9506392045454546,0.9939952076650304,0.8702931034780065,0.9967207258327564,0.999835634451019,0.83367365229496,0.503482724544873,0.5495834453104004,0.8237981863380134
76,77,0.950574638429752,0.9939985896939432,0.8705983178149183,0.9967151713332868,0.9997945430637738,0.8337201807745848,0.5031763529160873,0.5503896801934963,0.8239596341553557
77,78,0.9500258264462808,0.993973224477096,0.8705546336537029,0.9966982885783192,0.9997945430637738,0.8340748650864781,0.5031613346989898,0.5501209352324644,0.8240160436337041
78,79,0.9499612603305784,0.9939664604192702,0.8704396753347156,0.9966957305851424,0.9997945430637738,0.8343509849163822,0.503347560590997,0.5506584251545283,0.8241736011421947
79,80,0.9502195247933884,0.993973224477096,0.8705885463578044,0.9966846215862027,0.9997945430637738,0.8341213935661029,0.5034466808238393,0.5503896801934963,0.8241308077448268
80,81,0.9503486570247934,0.9939647694048136,0.8706506238500576,0.9967048662750598,0.9997534516765284,0.834474552354074,0.5030261707451138,0.5503896801934963,0.8240218790969815
81,82,0.9502518078512396,0.9939546233180748,0.8707466140464122,0.9967017235977284,0.9997534516765284,0.8345142159760492,0.503098258187181,0.5503896801934963,0.8240957949651624
82,83,0.9501872417355371,0.9939647694048136,0.8709477911046403,0.9967202142341212,0.9997534516765284,0.8343219999618618,0.5033085132265438,0.5498521902714324,0.8240218790969815
83,84,0.9503809400826446,0.9939647694048136,0.8708690446561337,0.9967327849434476,0.9997123602892832,0.8344409908277874,0.5032995022962854,0.5498521902714324,0.823842924889807
84,85,0.9504777892561984,0.9939816795493784,0.8708155890378046,0.9967351236800662,0.9997123602892832,0.8350839991609619,0.503470709971195,0.5498521902714324,0.8238973892137297
85,86,0.9505100723140496,0.993986752592748,0.870628206977855,0.996752883461266,0.9997123602892832,0.8346438855094298,0.5035187682659066,0.5498521902714324,0.8239479632288008
86,87,0.9508651859504132,0.9939681514337266,0.870498878868994,0.9967331503710444,0.999671268902038,0.835342956846742,0.5037500488092056,0.5498521902714324,0.8239829760084654
87,88,0.9508651859504132,0.9939444772313358,0.8706488994752727,0.996727742042613,0.9997123602892832,0.8353074884155527,0.503380600668611,0.5498521902714324,0.8241658205244915
88,89,0.950574638429752,0.9939512412891618,0.8706207346871209,0.9967149520767288,0.999671268902038,0.8349573806754257,0.5033325423738996,0.5506584251545283,0.8239635244642073
89,90,0.9506069214876032,0.9939478592602488,0.8707966209151715,0.9967104207745296,0.9997123602892832,0.8347239755153412,0.503149320125312,0.5506584251545283,0.8240607821854977
90,91,0.9506714876033058,0.9938937467976412,0.8707172996750703,0.996700188801822,0.9997123602892832,0.8352174825041475,0.5028940104346573,0.5501209352324644,0.8241385883625301
91,92,0.9508974690082644,0.9938971288265545,0.8709920500574504,0.9966804557116004,0.9997123602892832,0.8348444919051887,0.502860970357043,0.5506584251545283,0.8242514073192271
92,93,0.9506714876033058,0.9938971288265545,0.8709357204811465,0.9966629882724782,0.9997123602892832,0.8345973570298049,0.5027798719847175,0.5501209352324644,0.8241891623776012
93,94,0.9508974690082644,0.9939055838988368,0.8711529917040329,0.9966667156339646,0.9997123602892832,0.8356301367250815,0.5025996533795494,0.5503896801934963,0.8242552976280788
94,95,0.950703770661157,0.9938937467976412,0.8710432065093998,0.996668542771948,0.9997123602892832,0.8353532541332164,0.5026987736123918,0.5509271701155604,0.82442647121755
95,96,0.950574638429752,0.993881909696446,0.8710730956723365,0.9966710276796056,0.9997123602892832,0.8357781125455275,0.5026807517518751,0.5509271701155604,0.824414800290995
96,97,0.9504455061983472,0.9938683815807942,0.8708845640291972,0.9966802364550424,0.9997123602892832,0.8355271638603383,0.5028970140780767,0.5509271701155604,0.8243681165847757
97,98,0.9506714876033058,0.9938836007109024,0.8708816900712224,0.9966735125872632,0.9997123602892832,0.8352968097480977,0.5025756242321937,0.5509271701155604,0.8245276192476921
98,99,0.9504455061983472,0.9938836007109024,0.8708719186141085,0.9966948535589104,0.9997123602892832,0.8355775061497683,0.5028069047754927,0.5506584251545283,0.8244420324529566
99,100,0.9502840909090908,0.9938836007109024,0.8707253467573994,0.996690687684308,0.9997123602892832,0.8353677466104766,0.5030862436135032,0.5509271701155602,0.8244926064680275
