,number of Autoencoders,pollen,speech
0,1,0.5007343908160599,0.5485084654662725
1,2,0.4982263485608042,0.5350712174146735
2,3,0.4956131787858673,0.5369524321418974
3,4,0.49822034127396525,0.5420585864015051
4,5,0.4972111170850242,0.5452835259338887
5,6,0.4996320536811152,0.5458210158559527
6,7,0.5001336621321664,0.5439398011287289
7,8,0.500683328877929,0.5450147809728567
8,9,0.5004340264741132,0.5434023112066648
9,10,0.4988481027486341,0.5444772910507928
10,11,0.4989021683301845,0.5442085460897608
11,12,0.49969513019292405,0.5452835259338887
12,13,0.49916348530767823,0.5468959957000805
13,14,0.4985717675540431,0.5468959957000806
14,15,0.4984696436777811,0.5468959957000806
15,16,0.49868590600398277,0.5466272507390486
16,17,0.4984396072435865,0.5479709755442085
17,18,0.4995359370916922,0.5479709755442086
18,19,0.4998002577126054,0.5482397205052405
19,20,0.5000135163953876,0.5474334856221446
20,21,0.500034541899324,0.5468959957000806
21,22,0.4995629698824674,0.5463585057780167
22,23,0.5000345418993238,0.5468959957000806
23,24,0.5007704345370936,0.5471647406611126
24,25,0.5014402470196349,0.5471647406611126
25,26,0.5011789300421411,0.5479709755442085
26,27,0.5009897005067148,0.5485084654662725
27,28,0.5006442815134758,0.5490459553883364
28,29,0.5010527770185235,0.5479709755442086
29,30,0.5014702834538295,0.5485084654662725
30,31,0.5021280813626929,0.5482397205052405
31,32,0.5025155513638042,0.5479709755442086
32,33,0.5036238957855879,0.5477022305831766
33,34,0.5033836043120306,0.5487772104273044
34,35,0.5036208921421685,0.5487772104273044
35,36,0.5036839686539772,0.5501209352324644
36,37,0.5036208921421684,0.5503896801934963
37,38,0.5031072691174394,0.5495834453104005
38,39,0.5033025059397048,0.5485084654662725
39,40,0.5028849995043988,0.5495834453104005
40,41,0.5029931306674996,0.5490459553883364
41,42,0.503341553304158,0.5479709755442085
42,43,0.5034226516764836,0.5479709755442085
43,44,0.5030381853187917,0.5477022305831766
44,45,0.5034016261725472,0.5482397205052405
45,46,0.5036118812119101,0.5490459553883364
46,47,0.5036839686539772,0.5487772104273044
47,48,0.5036689504368799,0.5487772104273044
48,49,0.5040954678024443,0.5487772104273045
49,50,0.5044949523772336,0.5482397205052405
50,51,0.504221620826062,0.5487772104273045
51,52,0.5041540388491239,0.5482397205052405
52,53,0.5042816936944514,0.5493147003493685
53,54,0.5046181017574317,0.5493147003493685
54,55,0.5040414022208939,0.5501209352324644
55,56,0.5039152491972763,0.5493147003493685
56,57,0.5040414022208939,0.5501209352324643
57,58,0.5040233803603772,0.5501209352324644
58,59,0.5039302674143736,0.5493147003493684
59,60,0.5044168576483274,0.5498521902714324
60,61,0.5041164933063806,0.5495834453104004
61,62,0.5038221362512728,0.5498521902714323
62,63,0.5039873366393436,0.5495834453104004
63,64,0.50417656617477,0.5501209352324644
64,65,0.5036839686539774,0.5498521902714324
65,66,0.5035848484211348,0.5498521902714324
66,67,0.5038071180341754,0.5493147003493685
67,68,0.5033565715212552,0.5493147003493685
68,69,0.5034917354751314,0.5498521902714324
69,70,0.5035427974132622,0.5495834453104004
70,71,0.5034737136146146,0.5493147003493685
71,72,0.5033986225291278,0.5493147003493685
72,73,0.5035097573356482,0.5495834453104005
73,74,0.5033956188857084,0.5495834453104005
74,75,0.5035097573356482,0.5498521902714324
75,76,0.503482724544873,0.5495834453104004
76,77,0.5031763529160873,0.5503896801934963
77,78,0.5031613346989898,0.5501209352324644
78,79,0.503347560590997,0.5506584251545283
79,80,0.5034466808238393,0.5503896801934963
80,81,0.5030261707451138,0.5503896801934963
81,82,0.503098258187181,0.5503896801934963
82,83,0.5033085132265438,0.5498521902714324
83,84,0.5032995022962854,0.5498521902714324
84,85,0.503470709971195,0.5498521902714324
85,86,0.5035187682659066,0.5498521902714324
86,87,0.5037500488092056,0.5498521902714324
87,88,0.503380600668611,0.5498521902714324
88,89,0.5033325423738996,0.5506584251545283
89,90,0.503149320125312,0.5506584251545283
90,91,0.5028940104346573,0.5501209352324644
91,92,0.502860970357043,0.5506584251545283
92,93,0.5027798719847175,0.5501209352324644
93,94,0.5025996533795494,0.5503896801934963
94,95,0.5026987736123918,0.5509271701155604
95,96,0.5026807517518751,0.5509271701155604
96,97,0.5028970140780767,0.5509271701155604
97,98,0.5025756242321937,0.5509271701155604
98,99,0.5028069047754927,0.5506584251545283
99,100,0.5030862436135032,0.5509271701155602
100,101,0.5029961343109192,0.5506584251545283
101,102,0.5031973784200235,0.5506584251545283
102,103,0.5029150359385935,0.5501209352324644
103,104,0.5030261707451138,0.5503896801934963
104,105,0.5028099084189122,0.5503896801934963
105,106,0.5029450723727882,0.5503896801934963
106,107,0.5027858792715564,0.5503896801934963
107,108,0.5029420687293686,0.5503896801934963
108,109,0.5029450723727882,0.5503896801934963
109,110,0.5027918865583954,0.5503896801934964
110,111,0.5028759885741405,0.5498521902714324
111,112,0.5029240468688518,0.5501209352324644
112,113,0.5028579667136236,0.5498521902714324
113,114,0.502866977643882,0.5503896801934963
114,115,0.5027678574110396,0.5501209352324644
115,116,0.5027738646978785,0.5501209352324644
116,117,0.5027228027597476,0.5503896801934964
117,118,0.5026116679532272,0.5503896801934964
118,119,0.5029150359385934,0.5503896801934964
119,120,0.5027648537676201,0.5506584251545283
120,121,0.5031673419858288,0.5506584251545283
121,122,0.5030742290398253,0.5501209352324644
122,123,0.5029360614425298,0.5506584251545283
123,124,0.5027648537676201,0.5506584251545283
124,125,0.5028008974886536,0.5506584251545283
125,126,0.5027077845426502,0.5506584251545283
126,127,0.5028219229925899,0.5509271701155604
127,128,0.5026266861703246,0.5506584251545283
128,129,0.5024885185730291,0.5506584251545283
129,130,0.5027438282636838,0.5509271701155604
130,131,0.5024855149296096,0.5509271701155604
131,132,0.5024735003559317,0.5509271701155604
132,133,0.502359361905992,0.5509271701155604
133,134,0.5022782635336663,0.5511959150765924
134,135,0.5023143072546999,0.5509271701155604
135,136,0.5023233181849583,0.5506584251545283
136,137,0.5023743801230893,0.5509271701155604
137,138,0.5022722562468274,0.5506584251545283
138,139,0.5021851505876629,0.5503896801934963
139,140,0.5022422198126327,0.5506584251545283
140,141,0.5021701323705655,0.5503896801934964
141,142,0.5021941615179213,0.5498521902714324
142,143,0.5022241979521159,0.5503896801934963
143,144,0.5021581177968877,0.5501209352324644
144,145,0.5019568736877833,0.5503896801934963
145,146,0.5018006842299709,0.5503896801934963
146,147,0.5017646405089373,0.5503896801934963
147,148,0.5017105749273869,0.5503896801934963
148,149,0.5016895494234507,0.5503896801934963
149,150,0.5017976805865515,0.5501209352324644
150,151,0.5018096951602293,0.5501209352324644
151,152,0.5018577534549409,0.5501209352324644
152,153,0.5018817826022965,0.5501209352324644
153,154,0.5018998044628133,0.5501209352324644
154,155,0.5020409757035283,0.5501209352324644
155,156,0.5021340886495318,0.5501209352324644
156,157,0.5020589975640453,0.5501209352324644
157,158,0.5021461032232097,0.5501209352324644
158,159,0.5021130631455957,0.5501209352324644
159,160,0.5020199501995921,0.5498521902714324
160,161,0.5020830267114009,0.5501209352324644
161,162,0.5020439793469478,0.5501209352324644
162,163,0.5021521105100487,0.5501209352324644
163,164,0.5020980449284983,0.5501209352324644
164,165,0.5022332088823743,0.5501209352324644
165,166,0.5022902781073442,0.5501209352324644
166,167,0.5023863946967672,0.5501209352324644
167,168,0.5024614857822539,0.5501209352324644
168,169,0.5023773837665088,0.5501209352324644
169,170,0.5023413400454751,0.5501209352324644
170,171,0.5021911578745017,0.5503896801934964
171,172,0.5023683728362505,0.5506584251545283
172,173,0.5023082999678611,0.5503896801934963
173,174,0.5023743801230893,0.5501209352324644
174,175,0.5025696169453547,0.5503896801934963
175,176,0.5025846351624521,0.5503896801934963
176,177,0.5025305695809016,0.5501209352324644
177,178,0.5026897626821334,0.5501209352324644
178,179,0.5028519594267846,0.5501209352324644
179,180,0.5028789922175598,0.5503896801934964
180,181,0.5029060250083351,0.5503896801934964
181,182,0.5029030213649157,0.5501209352324644
182,183,0.5029210432254325,0.5495834453104004
183,184,0.5029961343109192,0.5498521902714324
184,185,0.503008148884597,0.5501209352324643
185,186,0.5030501998924696,0.5501209352324644
186,187,0.5030742290398252,0.5501209352324643
187,188,0.5030562071793085,0.5498521902714324
188,189,0.5028459521399458,0.5495834453104005
189,190,0.5029210432254324,0.5498521902714324
190,191,0.5028129120623316,0.5495834453104004
191,192,0.5027828756281368,0.5495834453104004
192,193,0.5027378209768449,0.5495834453104004
193,194,0.5027438282636838,0.5495834453104004
194,195,0.5027137918294892,0.5495834453104004
195,196,0.5027708610544591,0.5495834453104004
196,197,0.5027197991163281,0.5495834453104004
197,198,0.502629689813744,0.5495834453104004
198,199,0.5024104238441229,0.5495834453104004
199,200,0.5022932817507637,0.5495834453104004
